imageid,pathology,fiber_type,feature,morans_i
S00292623,OA,MFAP5,alignment_score,0.36457248433415096
S00292623,OA,MFAP5,area,-0.003489824081759894
S00292623,OA,MFAP5,major_axis_length,-0.014755232233267537
S00292623,OA,MFAP5,minor_axis_length,-0.011870742963205028
S00292623,OA,MFAP5,eccentricity,0.017613281089217794
S00293087,OA,COL6A1,alignment_score,0.32496305057054525
S00293087,OA,COL6A1,area,-0.004108498309498579
S00293087,OA,COL6A1,major_axis_length,-0.005567106841042253
S00293087,OA,COL6A1,minor_axis_length,-0.007303403382257472
S00293087,OA,COL6A1,eccentricity,0.022786459760651284
S00293087,OA,COL4A1,alignment_score,0.29243871744573147
S00293087,OA,COL4A1,area,0.030709990048109256
S00293087,OA,COL4A1,major_axis_length,0.023877610486407252
S00293087,OA,COL4A1,minor_axis_length,0.04216049380029666
S00293087,OA,COL4A1,eccentricity,0.08833352870522673
S00293087,OA,CHP,alignment_score,0.32024465319773315
S00293087,OA,CHP,area,0.0072952291104495795
S00293087,OA,CHP,major_axis_length,0.01085930280430572
S00293087,OA,CHP,minor_axis_length,0.004377267635443693
S00293087,OA,CHP,eccentricity,0.03157288359214233
S00293087,OA,FN,alignment_score,0.31283219328947987
S00293087,OA,FN,area,0.07480910660165249
S00293087,OA,FN,major_axis_length,0.04533865326080441
S00293087,OA,FN,minor_axis_length,0.06251733930298359
S00293087,OA,FN,eccentricity,0.04654296677504285
S00293087,OA,COL1A1bis,alignment_score,0.3195629219830322
S00293087,OA,COL1A1bis,area,0.0050150008102021575
S00293087,OA,COL1A1bis,major_axis_length,0.01647158486820685
S00293087,OA,COL1A1bis,minor_axis_length,0.003643987541666416
S00293087,OA,COL1A1bis,eccentricity,0.039975273210866816
S00293087,OA,MFAP5,alignment_score,0.3351684300984981
S00293087,OA,MFAP5,area,-0.005272167699990897
S00293087,OA,MFAP5,major_axis_length,-0.012815383367070832
S00293087,OA,MFAP5,minor_axis_length,-0.008052631767654762
S00293087,OA,MFAP5,eccentricity,0.025413565326161108
