marker,preferred_method,target_positive_fraction,reference_positive_fraction,reference_log1p_gate,reference_raw_gate,staining_condition,compartment_pattern,expression_condition,artifact_level,review_priority,if_overcall,if_undercall,strategy_note,learned_from
PD-L1,3component_gmm_high,,0.1741983827670822,1.865259479474624,5.457611286199712,clear_specific,membrane,bimodal,low,low,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,component gate worked on visual overlay,LHCC35_round3
CD45,3component_gmm_high,,0.3746191597635085,2.0263935689266424,6.586676137386416,clear_specific,membrane,bimodal,low,low,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,component gate worked on visual overlay,LHCC35_round3
CD34,upper_tail_gmm_q75,,0.2795902570774526,1.9343857384576872,5.919792187410958,clear_specific,membrane,bimodal,low,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,upper-tail q75 is more portable than component gate for CD34 after LHCC36 broad-signal overcall check,LHCC35_round3;LHCC36
CD163,upper_tail_gmm_q75,,0.1019375504355988,2.034070734582419,6.6451444551794046,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
Ki67,upper_tail_gmm_q90,,0.0215534987895456,0.0077984044847369,0.0078288912388089,clear_specific,nuclear,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,strict upper-tail gate is more portable than 2GMM for Ki67 after LHCC36 overcall check,LHCC35_round3;LHCC36_Ki67_q90_refinement
CD19,upper_tail_gmm_q75,,0.0555862057607746,1.601416364156328,3.960052692440566,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
CD4,target_positive_fraction,0.4354012615075509,0.4354012615075509,1.901381742232451,5.695139010326102,clear_specific,membrane,bimodal,low,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,fraction-tuned from iterative visual QC; inspect on each new sample,LHCC35_round3
CD38,upper_tail_gmm_q90,,0.0276428253816636,2.1071132505754138,7.224465013424298,high_background_specific_tail,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,strict upper-tail gate for sparse/high-background marker,LHCC35_round3
CD279,upper_tail_gmm_q75,,0.0780701898848833,2.0196691138621294,6.535831019062249,high_background_specific_tail,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
CD11c,upper_tail_gmm_q75,,0.1151537359397901,2.116580900499713,7.302701140718879,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
CD8,target_positive_fraction,0.142594818925907,0.142594818925907,1.9933212269276648,6.339870701909946,clear_specific,membrane,bimodal,low,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,fraction-tuned from iterative visual QC; inspect on each new sample,LHCC35_round3
CD11b,upper_tail_gmm_q75,,0.0825826320383393,1.9459755472770983,6.000457802522067,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
CD16,upper_tail_gmm_q75,,0.1120534905551621,1.98869705857646,6.3060082572704825,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
FoxP3,upper_tail_gmm_q90,,0.0373182259844205,2.0818099980147418,7.018970106746126,clear_specific,nuclear,bimodal,medium,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,strict upper-tail gate for sparse/high-background marker,LHCC35_round3
CD69,target_positive_fraction,0.0815698028688592,0.0815698028688592,1.944844606113997,5.99254517183589,high_background_specific_tail,membrane,bimodal,low,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,fraction-tuned from iterative visual QC; inspect on each new sample,LHCC35_round3
CD15,upper_tail_gmm_q75,,0.077345564137613,2.054474995346458,6.8027403221339755,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
HNF4a,3component_gmm_high,,0.3408664218309975,2.123507473579775,7.360410038654655,clear_specific,nuclear,bimodal,low,low,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,component gate worked on visual overlay,LHCC35_round3
panCK,upper_tail_gmm_q75,,0.041900660397556,2.077908498503189,6.987745050670202,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
HLADR,3component_gmm_high,,0.5678801403138947,2.0163781812382737,6.511071869605714,clear_specific,membrane,bimodal,low,low,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,component gate worked on visual overlay,LHCC35_round3
CD45RA,upper_tail_gmm_q75,,0.0695023138617611,1.718210877301119,4.57454599023631,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
aSMA,upper_tail_gmm_q75,,0.1105918874853839,1.801611404390212,5.059403751447099,clear_specific,cytoplasmic,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
CD66b,upper_tail_gmm_q75,,0.0783007526226511,2.0751167695953,6.9654765302025,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
CD68,3component_gmm_high,,0.1633536997085028,2.075823309791342,6.9711064481991984,clear_specific,cytoplasmic,multi_level,low,low,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,component gate worked on visual overlay,LHCC35_round3
EpCAM,3component_gmm_high,,0.2341446945867163,1.8873807141963317,5.602053349428262,clear_specific,membrane,bimodal,low,low,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,component gate worked on visual overlay,LHCC35_round3
