stage,module,name,kind,purpose,tutorial
ECM-cell analysis,spatioev.tl.ecm,spatial_linear_regression,function,Linear regression between spatial features.,05
ECM-cell analysis,spatioev.tl.ecm,spatial_mixed_model,function,Mixed effects spatial regression.,05
I/O,spatioev.io,load_h5ad,function,Load an AnnData h5ad file from disk.,00
QC plotting,spatioev.pl.qc,plot_area_distribution,function,Plot cell-area distributions with optional QC thresholds.,01
QC plotting,spatioev.pl.qc,plot_nc_ratio_distribution,function,Plot nuclear-to-cell ratio distributions with optional QC threshold.,01
Xenium spatial transcriptomics,spatioev.xe.annotation,assign_labels_from_marker_rules,function,Assign cluster labels using simple thresholded marker-score rules.,06
Xenium spatial transcriptomics,spatioev.xe.annotation,compute_marker_set_scores,function,Compute per-cell marker-set scores from expression values.,06
Xenium spatial transcriptomics,spatioev.xe.annotation,summarize_cluster_marker_scores,function,Summarize marker scores per cluster or annotation label.,06
Xenium spatial transcriptomics,spatioev.xe.features,add_module_scores,function,Return ``feature_table`` with module-score columns appended.,06
Xenium spatial transcriptomics,spatioev.xe.features,available_feature_map,function,Resolve canonical feature names to the first available candidate column.,06
Xenium spatial transcriptomics,spatioev.xe.features,score_xenium_histology_modules,function,Score Xenium epithelial-niche histology modules.,06
annotation refinement,spatioev.tl.phenotype,annotate_refinements,function,Review and annotate subsets of cells selected for refinement.,02
annotation refinement,spatioev.tl.phenotype,annotate_from_csv,function,Attach saved cluster annotations from a CSV file.,02
annotation refinement,spatioev.tl.phenotype,annotate_interactive,function,Launch an interactive cluster-annotation workflow.,02
annotation refinement,spatioev.tl.phenotype,cluster_cells,function,"Run Scanpy preprocessing, neighbor graph construction, UMAP, and Leiden clustering.",02
annotation refinement,spatioev.tl.phenotype,merge_annotations,function,Merge multiple annotation columns into one prioritized annotation.,02
annotation refinement,spatioev.tl.phenotype,merge_refinements,function,Merge refined annotations back into a parent annotation column.,02
annotation refinement,spatioev.tl.phenotype,refine_clusters,function,Split one annotated population for subclustering/refinement.,02
annotation refinement,spatioev.tl.phenotype,subset_cells,function,Create an AnnData subset from an observation-column query.,02
cell-cell interaction,spatioev.tl.density,phenotype_interaction_density,function,"For each source cell, count target phenotype cells within radius,",03
cell-cell interaction,spatioev.tl.density,plot_interaction_density,function,Plot interaction density helper used by the cell-cell interaction workflow.,03
cell-cell interaction,spatioev.tl.density,plot_interaction_distribution,function,Plot interaction distribution helper used by the cell-cell interaction workflow.,03
cell-cell interaction,spatioev.tl.density,plot_interaction_overlay,function,Plot interaction overlay helper used by the cell-cell interaction workflow.,03
configuration,spatioev.config,ClusteringConfig,class,Dataclass storing Scanpy/Leiden clustering settings.,00
configuration,spatioev.config,QCConfig,class,"Dataclass storing segmentation QC thresholds such as pixel size, area limits, and N:C-ratio limits.",00
density,spatioev.tl.density,assign_tiles,function,Assign each cell to a spatial tile.,03
density,spatioev.tl.density,compute_general_density,function,Compute density per tile for all cells.,03
density,spatioev.tl.density,compute_kde_density,function,Estimate a smoothed 2D kernel-density surface for all cells or a phenotype.,03
density,spatioev.tl.density,compute_phenotype_density,function,Compute density per tile for each phenotype.,03
density,spatioev.tl.density,phenotype_density_correlation,function,Compute phenotype density correlations across tiles.,03
density,spatioev.tl.density,plot_density_correlation,function,Plot phenotype density correlation heatmap.,03
density,spatioev.tl.density,plot_density_heatmap,function,Plot tile density heatmap.,03
density,spatioev.tl.density,plot_kde_density,function,Plot a smoothed KDE density map.,03
density,spatioev.tl.density,plot_phenotype_density_heatmap,function,Plot tile density heatmap for a specific phenotype.,03
density,spatioev.tl.density,compute_local_density_all_cells,function,Compute local density for all cells.,03
density,spatioev.tl.density,compute_local_density_by_phenotype,function,Compute local density within each phenotype.,03
density,spatioev.tl.density,plot_local_density_map,function,Plot spatial density map.,03
density,spatioev.tl.density,compute_radius_density,function,Compute local density within a fixed radius.,03
niche/graph,spatioev.tl.niche,build_cell_graph,function,Build a Layer 1 spatial cell graph across all images.,04
niche/graph,spatioev.tl.niche,extract_all_niche_subgraphs,function,Extract induced cell subgraphs for multiple niche labels.,04
niche/graph,spatioev.tl.niche,extract_niche_subgraph,function,Extract the induced cell subgraph for one niche label.,04
niche/graph,spatioev.tl.niche,add_niche_regions_to_obs,function,Merge niche-region assignments back into ``adata.obs``.,04
niche/graph,spatioev.tl.niche,assign_cells_to_niche_regions,function,Assign cells to niche core and border regions.,04
niche/graph,spatioev.tl.niche,buffer_niche_boundaries,function,Expand or shrink niche boundaries to define outer and inner regions.,04
niche/graph,spatioev.tl.niche,build_niche_boundaries,function,Build one geometry per clustered niche component.,04
niche/graph,spatioev.tl.niche,cluster_spatial_components,function,Cluster target cells within each image by spatial graph connected components.,04
niche/graph,spatioev.tl.niche,cluster_spatial_components_from_mask,function,Cluster target cells within each FOV by connected components on a binary,04
niche/graph,spatioev.tl.niche,cluster_spatial_components_hdbscan,function,Cluster target cells within each image using HDBSCAN.,04
niche/graph,spatioev.tl.niche,cluster_spatial_niches,function,Cluster target cells within each image using DBSCAN.,04
niche/graph,spatioev.tl.niche,estimate_density_adaptive_dbscan_params,function,Estimate image-specific DBSCAN parameters from the density of the target cells.,04
niche/graph,spatioev.tl.niche,estimate_spatial_component_params,function,Estimate image-specific connection radii for graph connected components.,04
niche/graph,spatioev.tl.niche,summarize_niche_composition,function,Summarize phenotype composition within niche regions.,04
niche/graph,spatioev.tl.niche,build_niche_feature_table,function,Build a filtered per-niche graph-descriptor table in one call.,04
niche/graph,spatioev.tl.niche,build_niche_feature_table_batched,function,Build the niche feature table in batches of niche labels.,04
niche/graph,spatioev.tl.niche,score_pdac_niche_pathology_modules,function,Score PDAC pathology-inspired niche modules from a niche feature table.,04
niche/graph,spatioev.tl.niche,summarize_niche_graph_features,function,Summarize each niche as a graph-derived descriptor vector.,04
niche/graph,spatioev.tl.niche,summarize_niche_surrounding_context,function,Summarize the graph-defined surroundings of each niche.,04
phenotyping/SVM,spatioev.tl.ml,build_feature_matrix,function,Combine marker and morphology features.,02
phenotyping/SVM,spatioev.tl.ml,build_marker_features,function,Extract and z-normalize marker expression matrix.,02
phenotyping/SVM,spatioev.tl.ml,build_morphology_features,function,Transform and scale morphology features.,02
phenotyping/SVM,spatioev.tl.ml,predict_svm,function,Predict phenotypes and probabilities.,02
phenotyping/SVM,spatioev.tl.ml,run_svm_phenotyping,function,Train SVM classifier and predict phenotypes.,02
phenotyping/SVM,spatioev.tl.ml,inspect_disagreements,function,Visualize cells where manual annotation and SVM prediction disagree.,02
phenotyping/SVM,spatioev.tl.ml,inspect_reassigned_cells,function,Visualize cells reassigned by SVM.,02
phenotyping/SVM,spatioev.tl.ml,train_svm_classifier,function,Train a balanced radial-basis SVM and return a classification report.,02
pixel morphology/Xenium,spatioev.pp.pixel,calculate_channel_correlation,function,Compute correlation between two channels inside a cell mask.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,calculate_entropy,function,Compute Shannon entropy of an intensity patch.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,calculate_haralick_features,function,Compute gray-level texture descriptors from an intensity patch.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,calculate_haralick_features_rescaled,function,Compute Haralick texture after rescaling intensity to uint8.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,calculate_lacunarity,function,Measure texture gap heterogeneity in a local image patch.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,calculate_moment_of_inertia,function,Quantify how dispersed intensity is around the intensity centroid.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,calculate_polarity_score,function,Measure displacement between geometric and intensity centroids normalized by cell size.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,extract_cell_pixel_features,function,Extract per-cell pixel features across multiple FOVs.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,extract_cell_pixel_features_for_fov,function,Extract per-cell pixel/morphotexture features for one FOV.,01/06
pixel morphology/Xenium,spatioev.pp.pixel,extract_xenium_dapi_features,function,Extract per-nucleus DAPI pixel features from 10x Xenium morphology images.,01/06
preprocessing,spatioev.pp.normalize,add_obs_from_var,function,Copy one or more features from ``adata.X``/``adata.var_names`` into ``adata.obs``.,01
preprocessing,spatioev.pp.normalize,add_zscore_obs_features,function,Add z-scored versions of numeric ``adata.obs`` columns.,01
preprocessing,spatioev.pp.normalize,zscore_normalize,function,Z-score normalize the expression matrix in AnnData.X.,01
segmentation QC,spatioev.pp.qc,categorize_area,function,Flag debris-like and merged-cell-like objects from physical area thresholds.,01
segmentation QC,spatioev.pp.qc,categorize_nc_ratio,function,Flag cells with implausible nuclear-to-cell area ratio.,01
segmentation QC,spatioev.pp.qc,compute_area_um2,function,Convert segmented cell area from pixels to square microns.,01
segmentation QC,spatioev.pp.qc,filter_segmentation_errors,function,Return a filtered AnnData containing cells that pass area and N:C-ratio QC.,01
segmentation QC,spatioev.pp.qc,generate_qc_summary,function,Generate a QC summary table from QC-annotated AnnData.,01
segmentation QC,spatioev.pp.qc,run_segmentation_qc,function,Run the complete area and N:C-ratio segmentation QC workflow.,01
spatial preprocessing,spatioev.pp.spatial_prep,compute_convex_hull,function,Compute convex hull from Nx2 coordinates.,03
spatial preprocessing,spatioev.pp.spatial_prep,compute_convex_hull_area,function,Compute convex hull area from Nx2 coordinates.,03
spatial preprocessing,spatioev.pp.spatial_prep,compute_tissue_areas,function,Compute convex-hull tissue area for each image.,03
spatial preprocessing,spatioev.pp.spatial_prep,detect_edge_cells,function,Detect cells whose radius-neighborhood intersects the convex hull boundary.,03
spatial preprocessing,spatioev.pp.spatial_prep,distance_to_convex_hull_boundary,function,Compute minimum distance from each point to convex hull boundary.,03
spatial preprocessing,spatioev.pp.spatial_prep,validate_spatial_coordinates,function,Validate required spatial coordinate columns and basic integrity.,03
spatial statistics,spatioev.tl.stats,add_local_cross_morans_i,function,Compute local cross Moran's I and add it to ``adata.obs``.,03
spatial statistics,spatioev.tl.stats,add_local_cross_morans_i_between_phenotypes,function,Compute local cross Moran's I between a source-cell feature and a,03
spatial statistics,spatioev.tl.stats,add_local_cross_morans_i_quadrants,function,Add quadrant-style local cross Moran classification to ``adata.obs``.,03
spatial statistics,spatioev.tl.stats,add_local_morans_i,function,Compute Local Moran's I and add to adata.obs.,03
spatial statistics,spatioev.tl.stats,add_local_morans_i_quadrants,function,Add quadrant-style local Moran classification to ``adata.obs``.,03
spatial statistics,spatioev.tl.stats,classify_local_cross_morans_i,function,Classify local cross Moran's I into quadrant-style labels.,03
spatial statistics,spatioev.tl.stats,classify_local_morans_i,function,Classify local Moran's I into hotspot/coldspot/outlier quadrants.,03
spatial statistics,spatioev.tl.stats,cross_morans_i,function,Cross Moran's I.,03
spatial statistics,spatioev.tl.stats,cross_morans_i_by_image,function,Compute cross Moran's I per image for two spatial features.,03
spatial statistics,spatioev.tl.stats,cross_morans_i_by_image_permutation_test,function,Permutation test for cross Moran's I per image.,03
spatial statistics,spatioev.tl.stats,cross_morans_i_feature_matrix,function,Compute a feature-by-feature cross Moran's I matrix between two phenotypes.,03
spatial statistics,spatioev.tl.stats,cross_morans_i_permutation_test,function,Permutation test for global cross Moran's I.,03
spatial statistics,spatioev.tl.stats,cross_ripley_envelope,function,Monte Carlo envelope for cross Ripley analysis.,03
spatial statistics,spatioev.tl.stats,cross_ripley_envelope_by_phenotype,function,Monte Carlo cross-Ripley envelope between two phenotypes.,03
spatial statistics,spatioev.tl.stats,cross_ripley_local_counts,function,Identify source cells embedded in target-enriched local neighborhoods.,03
spatial statistics,spatioev.tl.stats,cross_ripley_permutation_envelope,function,Cross-Ripley permutation envelope.,03
spatial statistics,spatioev.tl.stats,cross_ripleys_curve,function,"Compute cross Ripley curve K(r), L(r), and L(r)-r.",03
spatial statistics,spatioev.tl.stats,cross_ripleys_curve_by_phenotype,function,Compute cross Ripley curve between two phenotypes.,03
spatial statistics,spatioev.tl.stats,cross_ripleys_k,function,Cross Ripley's K statistic.,03
spatial statistics,spatioev.tl.stats,cross_ripleys_k_all_pairs,function,Compute cross-Ripley statistics for all phenotype pairs.,03
spatial statistics,spatioev.tl.stats,cross_ripleys_k_by_phenotype,function,Compute cross Ripley's K between two phenotypes.,03
spatial statistics,spatioev.tl.stats,local_cross_morans_i,function,Local cross Moran's I.,03
spatial statistics,spatioev.tl.stats,local_morans_i,function,Local Moran's I.,03
spatial statistics,spatioev.tl.stats,morans_i,function,Global Moran's I.,03
spatial statistics,spatioev.tl.stats,morans_i_by_image,function,Compute Moran's I per image for a spatial feature.,03
spatial statistics,spatioev.tl.stats,morans_i_by_image_permutation_test,function,Permutation test for Moran's I per image.,03
spatial statistics,spatioev.tl.stats,morans_i_permutation_test,function,Permutation test for global Moran's I.,03
spatial statistics,spatioev.tl.stats,ripley_envelope,function,Monte Carlo envelope test for Ripley statistics.,03
spatial statistics,spatioev.tl.stats,ripley_interaction_scale,function,Extract characteristic interaction scale from a Ripley curve.,03
spatial statistics,spatioev.tl.stats,ripley_local_counts_by_phenotype,function,Identify cells contributing to phenotype clustering at a chosen radius.,03
spatial statistics,spatioev.tl.stats,ripley_spatial_scales,function,Extract biologically meaningful spatial scales from a Ripley curve.,03
spatial statistics,spatioev.tl.stats,ripleys_curve,function,Compute Ripley statistics across radii.,03
spatial statistics,spatioev.tl.stats,ripleys_k,function,Compute Ripley's K statistic and derived transforms.,03
spatial statistics,spatioev.tl.stats,ripleys_k_by_image,function,Compute Ripley's K statistics for each image.,03
spatial statistics,spatioev.tl.stats,ripleys_k_by_phenotype,function,Compute Ripley's K separately for each phenotype.,03
spatial statistics,spatioev.tl.stats,summarize_target_features_around_source_cells,function,Summarize target-cell features in neighborhoods around source cells.,03
spatial visualization,spatioev.pl.spatial,plot_correlation_heatmap,function,Pretty lower-triangle correlation heatmap.,03/04
spatial visualization,spatioev.pl.spatial,plot_niche_boundaries,function,Overlay niche boundary geometries on top of spatial cell coordinates.,03/04
spatial visualization,spatioev.pl.spatial,plot_spatial_category,function,Scatter plot of a categorical spatial feature.,03/04
spatial visualization,spatioev.pl.spatial,plot_spatial_feature,function,Scatter plot of a spatial feature.,03/04
trajectory dynamics,spatioev.tl.pseudotime,assign_pseudotime_bins,function,Assign integer pseudotime bins and return per-bin pseudotime summaries.,06
trajectory dynamics,spatioev.tl.pseudotime,compute_epithelial_centered_interaction_dynamics,function,Compute epithelial-centered local interaction metrics along pseudotime.,06
trajectory dynamics,spatioev.tl.pseudotime,summarize_epithelial_interaction_dynamics,function,Aggregate epithelial-centered local interaction metrics by pseudotime bin.,06
trajectory dynamics,spatioev.tl.pseudotime,add_branch_time_bins,function,Add within-branch pseudotime bins to a copy of ``data``.,06
trajectory dynamics,spatioev.tl.pseudotime,benjamini_hochberg,function,Benjamini-Hochberg FDR correction that preserves input order.,06
trajectory dynamics,spatioev.tl.pseudotime,branch_time_feature_matrix,function,Build a branch-by-time feature summary matrix.,06
trajectory dynamics,spatioev.tl.pseudotime,compute_feature_trend_table,function,Summarize monotonic and early/late changes along pseudotime.,06
trajectory dynamics,spatioev.tl.pseudotime,find_branch_transition_features,function,Rank features by the largest adjacent branch-time change.,06
trajectory pseudotime,spatioev.tl.pseudotime,FeatureMatrixResult,class,Container returned by :func:`prepare_pseudotime_feature_matrix`.,06
trajectory pseudotime,spatioev.tl.pseudotime,assign_feature_blocks,function,Assign each feature to a broad information block by name prefix.,06
trajectory pseudotime,spatioev.tl.pseudotime,block_balance_feature_matrix,function,Equalize broad feature families before trajectory fitting.,06
trajectory pseudotime,spatioev.tl.pseudotime,infer_branch_labels,function,Assign observation-level branch labels from a principal tree.,06
trajectory pseudotime,spatioev.tl.pseudotime,minmax_scale,function,Scale numeric values into ``feature_range`` while preserving NaNs.,06
trajectory pseudotime,spatioev.tl.pseudotime,node_graph,function,Convert principal-tree edges to a NetworkX graph.,06
trajectory pseudotime,spatioev.tl.pseudotime,prepare_pseudotime_feature_matrix,function,Prepare a clean numeric matrix for pseudotime or trajectory models.,06
trajectory pseudotime,spatioev.tl.pseudotime,project_tree_nodes_to_embedding,function,Estimate tree-node positions in a plotted embedding from assigned cells.,06
trajectory pseudotime,spatioev.tl.pseudotime,sample_center_feature_matrix,function,Z-center a feature matrix within each sample or image.,06
trajectory pseudotime,spatioev.tl.pseudotime,score_signed_feature_module,function,Score a signed feature module from candidate feature columns.,06
trajectory pseudotime,spatioev.tl.pseudotime,summarize_branches,function,"Summarize branch size, composition, pseudotime, and score enrichment.",06
trajectory pseudotime,spatioev.tl.pseudotime,tree_edges,function,"Return principal-tree edges as ``(source, target)`` integer tuples.",06
trajectory pseudotime,spatioev.tl.pseudotime,zscore_series,function,Return a NaN-aware z-score Series aligned to the input index.,06
visualization,spatioev.pl.spatial,plot_cluster_heatmap,function,Plot a cluster-marker heatmap with Scanpy.,02/03
visualization,spatioev.pl.spatial,plot_refinement_umaps,function,Plot UMAPs from refinement runs.,02/03
visualization,spatioev.pl.spatial,inspect_clusters,function,Open interactive image/cluster inspection with optional viewer dependencies.,02/03
visualization,spatioev.pl.spatial,spatial_scatter_plot,function,Plot spatial coordinates colored by phenotype or continuous feature.,02/03
